Issue,Source,Component,Action,Actor
Playout Not in Sync With Playlist,Realtime Monitor,Graphics,Scheduled Graphics is not playing as per schedule in monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Realtime Monitor,Subtitle,Scheduled Subtitle is not playing as per schedule in monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Realtime Monitor,Audio,Scheduled Audio is not playing as per schedule in monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Realtime Monitor,Dynamic graphics,Scheduled Dynamic graphics is not playing as per schedule in monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Realtime Monitor,EI Promo,Scheduled EI Promo is not playing as per schedule in monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Realtime Monitor,Local ID,Scheduled Local ID is not playing as per schedule in monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Realtime Monitor,Ticker,Scheduled Ticker is not playing as per schedule in monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Field,Media,Scheduled Media is not playing on-air. Amagi support team are getting more details and will keep you updated,Scheduling
Playout Not in Sync With Playlist,Field,Logo,Scheduled Logo is not playing on-air. Amagi support team are getting more details and will keep you updated,Scheduling
Playout Not in Sync With Playlist,Field,Graphics,Scheduled Graphics is not playing on-air. Amagi support team are getting more details and will keep you updated,Scheduling
Playout Not in Sync With Playlist,Field,Subtitle,Scheduled Subtitle is not playing on-air. Amagi support team are getting more details and will keep you updated,Scheduling
Playout Not in Sync With Playlist,Field,Audio,Scheduled Audio is not playing on-air. Amagi support team are getting more details and will keep you updated,Scheduling
Playout Not in Sync With Playlist,Field,Dynamic graphics,Scheduled Dynamic graphics is not playing on-air. Amagi support team are getting more details and will keep you updated,Scheduling
Playout Not in Sync With Playlist,Field,EI Promo,Scheduled EI Promo is not playing on-air. Amagi support team are getting more details and will keep you updated,Scheduling
Playout Not in Sync With Playlist,Field,Local ID,Scheduled Local ID is not playing on-air. Amagi support team are getting more details and will keep you updated,Scheduling
Playout Not in Sync With Playlist,Field,Ticker,Scheduled Ticker is not playing on-air. Amagi support team are getting more details and will keep you updated,Scheduling
Audio and Video Not in Sync,Advance Monitor,Program,Scheduled Program is playing without audio and video sync. Please analyze.,Amagi Support
Audio and Video Not in Sync,Advance Monitor,Promo,Scheduled Promo is playing without audio and video sync. Please analyze.,Amagi Support
Audio and Video Not in Sync,Advance Monitor,Commercial,Scheduled Commercial is playing without audio and video sync. Please analyze.,Amagi Support
Audio and Video Not in Sync,Advance Monitor,Media,Scheduled Media is playing without audio and video sync. Please analyze.,Amagi Support
Audio and Video Not in Sync,Realtime Monitor,Program,Scheduled Program is playing without audio and video sync. Please analyze.,Amagi Support
Audio and Video Not in Sync,Realtime Monitor,Promo,Scheduled Promo is playing without audio and video sync. Please analyze.,Amagi Support
