Issue,Action,Actor
Playout Not in Sync With Playlist,Scheduled Subtitle is not playing as per schedule in advance monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Scheduled Audio is not playing as per schedule in advance monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Scheduled Dynamic graphics is not playing as per schedule in advance monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Scheduled EI Promo is not playing as per schedule in advance monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Scheduled Local ID is not playing as per schedule in advance monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Scheduled Ticker is not playing as per schedule in advance monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Scheduled Media is not playing as per schedule in monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Scheduled Logo is not playing as per schedule in monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Scheduled Graphics is not playing as per schedule in monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Scheduled Subtitle is not playing as per schedule in monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Scheduled Audio is not playing as per schedule in monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Scheduled Dynamic graphics is not playing as per schedule in monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Scheduled EI Promo is not playing as per schedule in monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Scheduled Local ID is not playing as per schedule in monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Scheduled Ticker is not playing as per schedule in monitoring server. Please analyze and update,Amagi Support
Playout Not in Sync With Playlist,Scheduled Media is not playing on-air. Amagi support team are getting more details and will keep you updated,Scheduling/Scheduling
Playout Not in Sync With Playlist,Scheduled Logo is not playing on-air. Amagi support team are getting more details and will keep you updated,Scheduling/Scheduling
Playout Not in Sync With Playlist,Scheduled Graphics is not playing on-air. Amagi support team are getting more details and will keep you updated,Scheduling/Scheduling
Playout Not in Sync With Playlist,Scheduled Subtitle is not playing on-air. Amagi support team are getting more details and will keep you updated,Scheduling/Scheduling
Playout Not in Sync With Playlist,Scheduled Audio is not playing on-air. Amagi support team are getting more details and will keep you updated,Scheduling/Scheduling
Playout Not in Sync With Playlist,Scheduled Dynamic graphics is not playing on-air. Amagi support team are getting more details and will keep you updated,Scheduling/Scheduling
Playout Not in Sync With Playlist,Scheduled EI Promo is not playing on-air. Amagi support team are getting more details and will keep you updated,Scheduling/Scheduling
Playout Not in Sync With Playlist,Scheduled Local ID is not playing on-air. Amagi support team are getting more details and will keep you updated,Scheduling/Scheduling
Playout Not in Sync With Playlist,Scheduled Ticker is not playing on-air. Amagi support team are getting more details and will keep you updated,Scheduling/Scheduling
Audio and Video Not in Sync,Scheduled Program is playing without audio and video sync. Please analyze.,Amagi Support
Audio and Video Not in Sync,Scheduled Promo is playing without audio and video sync. Please analyze.,Amagi Support
Audio and Video Not in Sync,Scheduled Commercial is playing without audio and video sync. Please analyze.,Amagi Support
Audio and Video Not in Sync,Scheduled Media is playing without audio and video sync. Please analyze.,Amagi Support
Audio and Video Not in Sync,Scheduled Program is playing without audio and video sync. Please analyze.,Amagi Support
Audio and Video Not in Sync,Scheduled Promo is playing without audio and video sync. Please analyze.,Amagi Support
Audio and Video Not in Sync,Scheduled Commercial is playing without audio and video sync. Please analyze.,Amagi Support
Audio and Video Not in Sync,Scheduled Media is playing without audio and video sync. Please analyze.,Amagi Support
Audio and Video Not in Sync,Scheduled Program is playing without audio and video sync. Amagi support team are getting more details and will keep you updated,Amagi Support
Audio and Video Not in Sync,Scheduled Promo is playing without audio and video sync. Amagi support team are getting more details and will keep you updated,Amagi Support
Audio and Video Not in Sync,Scheduled Commercial is playing without audio and video sync. Amagi support team are getting more details and will keep you updated,Amagi Support
Audio and Video Not in Sync,Scheduled Media is playing without audio and video sync. Amagi support team are getting more details and will keep you updated,Amagi Support
Audio Track Issue,Current playing Audio track is not in sync with server configuration. Please analyze and update Customer as necessary,Amagi Support
Audio Track Issue,Current playing Audio track is not in sync with server configuration. Please analyze and update Customer as necessary,Amagi Support
Audio Track Issue,Current playing Audio track is not in sync with server configuration. Amagi support team are getting more details and will keep you updated,Amagi Support
Subtitle Not in Sync,Subtitle is not in sync with Video. It could be a timecode issue. Please analyze and update Customer,Subtitle Ingest/Subtitle
Subtitle Not in Sync,Subtitle is not in sync with Video. It could be a timecode issue. Please analyze and update Customer,Subtitle Ingest/Subtitle
Subtitle Not in Sync,Subtitle is not in sync with Video. It could be a timecode issue. Amagi support team are getting more details and will keep you updated,Subtitle Ingest/Subtitle
Incorrect Subtitle Language,Subtitle language is not in sync with server configuration. Please analyze and update Customer,Subtitle Ingest/Subtitle
Incorrect Subtitle Language,Subtitle language is not in sync with server configuration. Please analyze and update Customer,Subtitle Ingest/Subtitle
Incorrect Subtitle Language,Subtitle language is not in sync with server configuration. Amagi support team are getting more details and will keep you updated,Subtitle Ingest/Subtitle
